iter	Passed	Remaining
0	136	136384
1	136	68327
2	137	45598
3	137	34247
4	137	27431
5	138	22881
6	138	19629
7	138	17204
8	139	15323
9	139	13815
10	139	12571
11	140	11526
12	140	10654
13	140	9909
14	140	9257
15	141	8685
16	141	8182
17	141	7733
18	142	7333
19	142	6973
20	142	6643
21	142	6343
22	142	6071
23	143	5819
24	143	5589
25	143	5378
26	143	5181
27	144	5001
28	144	4834
29	144	4673
30	144	4526
31	145	4388
32	145	4258
33	145	4134
34	145	4016
35	145	3908
36	146	3803
37	146	3707
38	146	3615
39	146	3526
40	147	3442
41	147	3361
42	147	3284
43	147	3212
44	148	3142
45	148	3079
46	148	3016
47	149	2956
48	149	2896
49	149	2842
50	149	2786
51	149	2733
52	150	2682
53	150	2634
54	150	2587
55	150	2541
56	150	2496
57	151	2454
58	151	2413
59	151	2374
60	151	2335
61	151	2298
62	152	2261
63	152	2226
64	152	2193
65	152	2159
66	152	2127
67	152	2095
68	153	2065
69	153	2035
70	153	2007
71	153	1981
72	153	1954
73	154	1928
74	154	1902
75	154	1878
76	154	1854
77	154	1830
78	155	1807
79	155	1785
80	155	1763
81	155	1741
82	155	1720
83	155	1700
84	156	1679
85	156	1660
86	156	1641
87	156	1623
88	156	1605
89	157	1587
90	157	1570
91	157	1553
92	157	1536
93	157	1520
94	157	1504
95	158	1488
96	158	1473
97	158	1458
98	158	1443
99	158	1429
100	158	1414
101	159	1400
102	159	1387
103	159	1373
104	159	1360
105	159	1348
106	160	1336
107	160	1324
108	160	1312
109	160	1300
110	160	1289
111	161	1278
112	161	1267
113	161	1257
114	161	1246
115	162	1235
116	162	1224
117	162	1214
118	162	1203
119	162	1193
120	162	1183
121	163	1174
122	163	1164
123	163	1155
124	163	1146
125	163	1137
126	164	1128
127	164	1119
128	164	1111
129	164	1102
130	164	1094
131	165	1086
132	165	1078
133	165	1070
134	165	1062
135	166	1054
136	166	1047
137	166	1039
138	166	1032
139	166	1024
140	167	1017
141	167	1010
142	167	1003
143	167	996
144	167	989
145	168	982
146	168	975
147	168	969
148	168	962
149	168	956
150	169	950
151	169	944
152	169	938
153	169	932
154	169	926
155	170	919
156	170	913
157	170	907
158	170	902
159	170	896
160	171	891
161	171	885
162	171	879
163	171	874
164	171	869
